trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l3_RIGHT,35,60,REDGOAL,460.6989957558751,357.94143484541814,13,9.700000000000003
contain_sc1_var_l1_complex_l3_RIGHT,36,60,TIMEUP,101.79450624967038,315.7867567585573,64,60.049999999998725
contain_sc1_var_l1_complex_l3_RIGHT,37,60,REDGOAL,465.92269465914023,358.46336683220693,18,9.45
contain_sc1_var_l1_complex_l3_RIGHT,38,60,REDGOAL,454.7635163279522,328.68584580811245,2,1.7500000000000009
contain_sc1_var_l1_complex_l3_RIGHT,39,60,REDGOAL,454.49381922907725,310.5514535609417,11,9.149999999999995
contain_sc1_var_l1_complex_l3_RIGHT,40,60,REDGOAL,451.71139038590707,340.98669579296796,15,13.650000000000059
contain_sc1_var_l1_complex_l3_RIGHT,41,60,TIMEUP,160.26516794618843,257.86108213008623,63,60.049999999998725
contain_sc1_var_l1_complex_l3_RIGHT,42,60,REDGOAL,454.8859375806241,350.75861975439017,3,3.149999999999997
contain_sc1_var_l1_complex_l3_RIGHT,43,60,REDGOAL,451.96483808341355,333.2686581541741,5,6.299999999999986
contain_sc1_var_l1_complex_l3_RIGHT,44,60,REDGOAL,453.4496390592253,309.99129991280284,29,24.90000000000022
contain_sc1_var_l1_complex_l3_RIGHT,45,60,REDGOAL,451.1694555088352,284.6367968397238,34,32.450000000000294
contain_sc1_var_l1_complex_l3_RIGHT,46,60,REDGOAL,458.86864006948224,299.9138963252615,20,18.800000000000132
contain_sc1_var_l1_complex_l3_RIGHT,47,60,REDGOAL,453.35021658446647,265.263513471556,5,5.749999999999988
contain_sc1_var_l1_complex_l3_RIGHT,48,60,REDGOAL,455.8827233161861,286.35446575266303,8,6.449999999999985
contain_sc1_var_l1_complex_l3_RIGHT,49,60,REDGOAL,450.93231834787315,272.0910622668808,18,18.900000000000134
contain_sc1_var_l1_complex_l3_RIGHT,50,60,REDGOAL,457.254147278695,309.1846631094772,10,8.79999999999999
contain_sc1_var_l1_complex_l3_RIGHT,51,60,REDGOAL,453.71033899131766,314.2816078966698,43,38.54999999999995
contain_sc1_var_l1_complex_l3_RIGHT,52,60,REDGOAL,450.4674590277899,321.3009448813723,9,10.600000000000016
contain_sc1_var_l1_complex_l3_RIGHT,53,60,REDGOAL,452.27084647151025,256.83068693586,3,2.8999999999999977
contain_sc1_var_l1_complex_l3_RIGHT,54,60,REDGOAL,456.33665269699037,266.4195078468725,24,25.350000000000225
contain_sc1_var_l1_complex_l3_RIGHT,55,60,REDGOAL,456.7441017178332,357.31057145639534,10,7.499999999999981
contain_sc1_var_l1_complex_l3_RIGHT,56,60,REDGOAL,455.2743928985359,264.7130039401692,3,2.9999999999999973
contain_sc1_var_l1_complex_l3_RIGHT,57,60,REDGOAL,459.09418222578626,251.48747562640648,16,15.400000000000084
contain_sc1_var_l1_complex_l3_RIGHT,58,60,REDGOAL,461.86204588164674,364.88792618068106,35,30.900000000000304
contain_sc1_var_l1_complex_l3_RIGHT,59,60,REDGOAL,454.84623484632664,255.63400837462007,16,14.200000000000067
contain_sc1_var_l1_complex_l3_RIGHT,60,60,REDGOAL,451.3038481765977,285.1889073193176,7,4.99999999999999
contain_sc1_var_l1_complex_l3_RIGHT,61,60,REDGOAL,454.4631368767072,317.0886553080279,3,3.049999999999997
contain_sc1_var_l1_complex_l3_RIGHT,62,60,REDGOAL,457.7947700857721,259.7296272980117,2,2.000000000000001
contain_sc1_var_l1_complex_l3_RIGHT,63,60,REDGOAL,468.2921207472216,242.6894917432959,7,7.299999999999982
contain_sc1_var_l1_complex_l3_RIGHT,64,60,REDGOAL,456.5102358962113,359.54227431434595,9,4.99999999999999
contain_sc1_var_l1_complex_l3_RIGHT,65,60,REDGOAL,454.3679688223127,267.0778937627787,59,45.59999999999955
contain_sc1_var_l1_complex_l3_RIGHT,66,60,REDGOAL,456.5362197296326,281.38098473372565,17,18.800000000000132
contain_sc1_var_l1_complex_l3_RIGHT,67,60,REDGOAL,465.9943825868299,357.05844950577716,58,54.949999999999015
contain_sc1_var_l1_complex_l3_RIGHT,68,60,REDGOAL,452.87168597314417,282.3094628357132,25,24.95000000000022
contain_sc1_var_l1_complex_l3_RIGHT,69,60,REDGOAL,453.2754872611712,360.1053934917966,2,1.6500000000000008
contain_sc1_var_l1_complex_l3_RIGHT,70,60,REDGOAL,453.4053075357402,324.4051641601876,22,21.650000000000173
contain_sc1_var_l1_complex_l3_RIGHT,71,60,REDGOAL,459.7088933305285,353.9366692024556,35,28.700000000000273
contain_sc1_var_l1_complex_l3_RIGHT,72,60,REDGOAL,458.9849828444723,319.9985203244765,3,3.099999999999997
contain_sc1_var_l1_complex_l3_RIGHT,73,60,REDGOAL,450.05752678268607,347.51155362003396,36,31.25000000000031
contain_sc1_var_l1_complex_l3_RIGHT,74,60,REDGOAL,452.4587227175292,326.5606509568653,9,7.99999999999998
contain_sc1_var_l1_complex_l3_RIGHT,75,60,REDGOAL,465.8968899628043,367.1562975653145,24,25.70000000000023
contain_sc1_var_l1_complex_l3_RIGHT,76,60,REDGOAL,452.91505824077615,263.11874922719073,5,4.6499999999999915
contain_sc1_var_l1_complex_l3_RIGHT,77,60,REDGOAL,452.548270777721,257.96458723839993,8,7.299999999999982
contain_sc1_var_l1_complex_l3_RIGHT,78,60,TIMEUP,257.03185030677446,418.7741239215411,56,60.049999999998725
contain_sc1_var_l1_complex_l3_RIGHT,79,60,REDGOAL,457.34465155866906,249.4059418127427,16,12.950000000000049
contain_sc1_var_l1_complex_l3_RIGHT,80,60,REDGOAL,455.929760998321,241.5684514074241,13,10.000000000000007
contain_sc1_var_l1_complex_l3_RIGHT,81,60,REDGOAL,456.2564592819465,257.6425284398241,45,38.89999999999993
contain_sc1_var_l1_complex_l3_RIGHT,82,60,REDGOAL,459.2591553596902,336.53037381793416,19,17.30000000000011
contain_sc1_var_l1_complex_l3_RIGHT,83,60,REDGOAL,452.50005671476345,303.54059770195767,3,2.9999999999999973
contain_sc1_var_l1_complex_l3_RIGHT,84,60,REDGOAL,458.7529632422894,292.37863630805396,9,11.750000000000032
contain_sc1_var_l1_complex_l3_RIGHT,85,60,REDGOAL,456.0453834086768,258.3766044062209,3,2.8999999999999977
contain_sc1_var_l1_complex_l3_RIGHT,86,60,REDGOAL,456.82505403691863,353.13770693723177,18,16.700000000000102
contain_sc1_var_l1_complex_l3_RIGHT,87,60,REDGOAL,451.59405024594514,326.47116575708327,5,3.1999999999999966
contain_sc1_var_l1_complex_l3_RIGHT,88,60,REDGOAL,457.4146355726894,245.58098855324195,1,1.2500000000000004
contain_sc1_var_l1_complex_l3_RIGHT,89,60,REDGOAL,452.2360476617054,251.96000493050775,11,6.949999999999983
contain_sc1_var_l1_complex_l3_RIGHT,90,60,REDGOAL,456.83933760896855,305.84640165099506,11,12.250000000000039
contain_sc1_var_l1_complex_l3_RIGHT,91,60,REDGOAL,452.3208396250788,342.29949355561405,6,5.449999999999989
contain_sc1_var_l1_complex_l3_RIGHT,92,60,REDGOAL,452.9815965344269,344.51717067799376,18,19.700000000000145
contain_sc1_var_l1_complex_l3_RIGHT,93,60,REDGOAL,454.26093573154526,331.2314418176555,2,2.3999999999999995
contain_sc1_var_l1_complex_l3_RIGHT,94,60,REDGOAL,455.9328483962061,243.58734076298106,7,8.09999999999998
contain_sc1_var_l1_complex_l3_RIGHT,95,60,REDGOAL,452.79806796661586,288.02185318353605,9,5.799999999999987
contain_sc1_var_l1_complex_l3_RIGHT,96,60,REDGOAL,453.63268211908587,261.17112011703523,6,5.14999999999999
contain_sc1_var_l1_complex_l3_RIGHT,97,60,REDGOAL,453.0410230888127,278.826450288007,5,5.299999999999989
contain_sc1_var_l1_complex_l3_RIGHT,98,60,REDGOAL,456.36784727791337,277.3260913817536,11,11.150000000000023
contain_sc1_var_l1_complex_l3_RIGHT,99,60,REDGOAL,456.09374556641035,308.5871917011519,12,9.600000000000001
contain_sc1_var_l1_complex_l3_RIGHT,100,60,REDGOAL,459.25574109877346,321.57230424239435,10,12.200000000000038
contain_sc1_var_l1_complex_l3_RIGHT,101,60,REDGOAL,456.9608148584443,310.04494958874824,10,10.550000000000015
contain_sc1_var_l1_complex_l3_RIGHT,102,60,REDGOAL,458.5622186323715,252.7066270006033,3,2.849999999999998
contain_sc1_var_l1_complex_l3_RIGHT,103,60,REDGOAL,450.8431049044004,318.6957728634598,13,11.700000000000031
