trialname,outcome,endpoint_x,endpoint_y,bounces,tsims
contain_sc1_var_l1_complex_l1,REDGOAL,345.5761502398752,149.93516287407084,6,8.79999999999999
contain_sc1_var_l1_complex_l1,TIMEUP,463.6143161536984,373.69368261340026,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,401.5438813553585,442.9849812631717,6,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,350.7287858776135,147.9603589570176,2,3.349999999999996
contain_sc1_var_l1_complex_l1,REDGOAL,287.4155597271484,144.8406400601324,2,3.4999999999999956
contain_sc1_var_l1_complex_l1,REDGOAL,297.5814193283523,139.347311420893,6,9.299999999999997
contain_sc1_var_l1_complex_l1,TIMEUP,273.209267595668,255.04038065074582,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,438.06746020183016,192.38598055304357,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,428.65602109602446,210.36512897851316,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,451.47822946281576,223.80911536248703,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,327.73118376727,293.39766904091124,7,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,330.3183044347107,142.42452525483782,2,3.4499999999999957
contain_sc1_var_l1_complex_l1,TIMEUP,443.2217917207861,368.0765377829376,7,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,65.80565444607831,465.1249317644025,8,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,257.95852242612716,138.81279163751356,4,6.149999999999986
contain_sc1_var_l1_complex_l1,TIMEUP,533.208975082298,395.0210104806864,7,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,326.9615320557164,148.50100852476402,6,8.599999999999987
contain_sc1_var_l1_complex_l1,TIMEUP,514.1980729405808,177.97303427570262,7,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,357.0169043931635,134.53668168273356,5,5.849999999999987
contain_sc1_var_l1_complex_l1,TIMEUP,303.8814841996633,420.89515067006,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,132.21958321669842,407.24934765659503,8,10.000000000000007
contain_sc1_var_l1_complex_l1,REDGOAL,244.2981652195726,145.77789958550355,5,6.799999999999984
contain_sc1_var_l1_complex_l1,REDGOAL,329.4472248444119,145.68737861866956,2,3.349999999999996
contain_sc1_var_l1_complex_l1,TIMEUP,280.56235816019034,315.72880716323226,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,520.5161332461331,178.92163622144568,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,445.2096240958239,175.40479592122878,8,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,450.49532290252716,237.2618419140904,7,10.000000000000007
contain_sc1_var_l1_complex_l1,TIMEUP,470.5169841809547,181.3199683783144,9,10.000000000000007
